Основные средства,Инвентарный номер,ОКОФ,Амортизационная группа,Способ начисления амортизации,Дата принятия к учету,Состояние,Срок полезного использования,"Мес. норма износа, %","Износ, %",Балансовая стоимость,Количество,Сумма амортизации,Остаточная стоимость,Номер счёта,Дата,Классификатор
"Штора рулонная 1,50*3.50 тк. Контэкс св.-беж.",11013606005189.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,17.06.2022,Введено в эксплуатацию,180.0,0.556,100.0,17099.99,1.0,17099.99,0.0,101,30.06.2022,101.36
"Штора рулонная 1,50*3.50 тк. Контэкс св.-беж.",11013606005191.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,17.06.2022,Введено в эксплуатацию,180.0,0.556,100.0,17099.99,1.0,17099.99,0.0,101,30.06.2022,101.36
"Штора рулонная 1,50*3.50 тк. Контэкс св.-беж.",11013606005192.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,17.06.2022,Введено в эксплуатацию,180.0,0.556,100.0,17099.99,1.0,17099.99,0.0,101,30.06.2022,101.36
"Штора рулонная 1,50*3.50 тк. Контэкс св.-беж.",11013606005193.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,17.06.2022,Введено в эксплуатацию,180.0,0.556,100.0,17099.99,1.0,17099.99,0.0,101,30.06.2022,101.36
"Штора рулонная 1,50*3.50 тк. Контэкс св.-беж.",11013606005194.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,17.06.2022,Введено в эксплуатацию,180.0,0.556,100.0,17099.99,1.0,17099.99,0.0,101,30.06.2022,101.36
"Штора рулонная 1,50*3.50 тк. Контэкс св.-беж.",11013606005195.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,17.06.2022,Введено в эксплуатацию,180.0,0.556,100.0,17099.99,1.0,17099.99,0.0,101,30.06.2022,101.36
"Штора рулонная 1,50*3.50 тк. Контэкс св.-беж.",11013606005196.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,17.06.2022,Введено в эксплуатацию,180.0,0.556,100.0,17099.99,1.0,17099.99,0.0,101,30.06.2022,101.36
"Штора рулонная 1,50*3.50 тк. Контэкс св.-беж.",11013606005198.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,17.06.2022,Введено в эксплуатацию,180.0,0.556,100.0,17099.99,1.0,17099.99,0.0,101,30.06.2022,101.36
"Штора рулонная 1,50*3.50 тк. Контэкс св.-беж.",11013606005200.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,17.06.2022,Введено в эксплуатацию,180.0,0.556,100.0,17099.99,1.0,17099.99,0.0,101,30.06.2022,101.36
"Штора рулонная 1,50*3.50 тк. Контэкс св.-беж.",11013606005201.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,17.06.2022,Введено в эксплуатацию,180.0,0.556,100.0,17099.99,1.0,17099.99,0.0,101,30.06.2022,101.36
"Штора рулонная 1,50*3.50 тк. Контэкс св.-беж.",11013606005202.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,17.06.2022,Введено в эксплуатацию,180.0,0.556,100.0,17099.99,1.0,17099.99,0.0,101,30.06.2022,101.36
"Штора рулонная 1,50*3.50 тк. Контэкс св.-беж.",11013606005203.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,17.06.2022,Введено в эксплуатацию,180.0,0.556,100.0,17099.99,1.0,17099.99,0.0,101,30.06.2022,101.36
"Штора рулонная 1,50*3.50 тк. Контэкс св.-беж.",11013606005204.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,17.06.2022,Введено в эксплуатацию,180.0,0.556,100.0,17099.99,1.0,17099.99,0.0,101,30.06.2022,101.36
"Штора рулонная 1,50*3.50 тк. Контэкс св.-беж.",11013606005205.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,17.06.2022,Введено в эксплуатацию,180.0,0.556,100.0,17099.99,1.0,17099.99,0.0,101,30.06.2022,101.36
"Штора рулонная 1,50*3.50 тк. Контэкс св.-беж.",11013606005206.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,17.06.2022,Введено в эксплуатацию,180.0,0.556,100.0,17099.99,1.0,17099.99,0.0,101,30.06.2022,101.36
"Штора рулонная 1,50*3.50 тк. Контэкс св.-беж.",11013606005207.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,17.06.2022,Введено в эксплуатацию,180.0,0.556,100.0,17099.99,1.0,17099.99,0.0,101,30.06.2022,101.36
"Штора рулонная 1,50*3.50 тк. Контэкс св.-беж.",11013606005210.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,17.06.2022,Введено в эксплуатацию,180.0,0.556,100.0,17099.99,1.0,17099.99,0.0,101,30.06.2022,101.36
"Штора рулонная 1,50*3.50 тк. Контэкс св.-беж.",11013606005212.0,330.31.01.1,6.0,100% при вводе в эксплуатацию,17.06.2022,Введено в эксплуатацию,180.0,0.556,100.0,17099.99,1.0,17099.99,0.0,101,30.06.2022,101.36
"Офисная перегородка размер 5691 мм Х 2785мм (общее количество 36,08 кв.м)",4101360401069.0,16 3612515,4.0,Линейный,26.04.2016,Введено в эксплуатацию,84.0,1.19,88.1,99580.8,1.0,87726.26,11854.54,101,30.06.2022,101.36
"Сейф VALBERG, модель ВМ-1993 KL",4101360800005.0,330.25.99.21.110,8.0,Линейный,31.08.2016,Введено в эксплуатацию,300.0,0.333,23.33,84500.0,1.0,19716.9,64783.1,101,30.06.2022,101.36
Шкаф-купе Geradom GD-1134,4101360400117.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,16400.0,1.0,16400.0,0.0,101,30.06.2022,101.36
Шкаф-купе Geradom GD-1134,4101360400118.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,16400.0,1.0,16400.0,0.0,101,30.06.2022,101.36
Шкаф-купе Geradom GD-1134,4101360400119.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,16400.0,1.0,16400.0,0.0,101,30.06.2022,101.36
Шкаф-купе Geradom GD-1134,4101360400121.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,16400.0,1.0,16400.0,0.0,101,30.06.2022,101.36
Шкаф-купе Geradom GD-1134,4101360400122.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,16400.0,1.0,16400.0,0.0,101,30.06.2022,101.36
Стол для переговоров Geradom GD--1225,4101360400145.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,17000.0,1.0,17000.0,0.0,101,30.06.2022,101.36
Стол для переговоров Geradom GD--1225,4101360400146.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,17000.0,1.0,17000.0,0.0,101,30.06.2022,101.36
Стол для переговоров Geradom GD--1225,4101360400147.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,17000.0,1.0,17000.0,0.0,101,30.06.2022,101.36
Шкаф средний Geradom GD-1175,4101360400148.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,5650.0,1.0,5650.0,0.0,101,30.06.2022,101.36
Шкаф средний Geradom GD-1175,4101360400149.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,5650.0,1.0,5650.0,0.0,101,30.06.2022,101.36
Шкаф средний Geradom GD-1175,4101360400151.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,5650.0,1.0,5650.0,0.0,101,30.06.2022,101.36
Шкаф средний Geradom GD-1175,4101360400152.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,5650.0,1.0,5650.0,0.0,101,30.06.2022,101.36
Шкаф средний Geradom GD-1175,4101360400153.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,5650.0,1.0,5650.0,0.0,101,30.06.2022,101.36
Шкаф средний Geradom GD-1175,4101360400155.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,5650.0,1.0,5650.0,0.0,101,30.06.2022,101.36
Шкаф средний Geradom GD-1175,4101360400156.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,5650.0,1.0,5650.0,0.0,101,30.06.2022,101.36
Шкаф средний Geradom GD-1175,4101360400157.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,5650.0,1.0,5650.0,0.0,101,30.06.2022,101.36
Шкаф средний Geradom GD-1175,4101360400161.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,5650.0,1.0,5650.0,0.0,101,30.06.2022,101.36
Шкаф средний Geradom GD-1175,4101360400162.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,5650.0,1.0,5650.0,0.0,101,30.06.2022,101.36
Шкаф средний Geradom GD-1175,4101360400164.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,5650.0,1.0,5650.0,0.0,101,30.06.2022,101.36
Шкаф средний Geradom GD-1175,4101360400165.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,5650.0,1.0,5650.0,0.0,101,30.06.2022,101.36
Шкаф средний Geradom GD-1175,4101360400168.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,5650.0,1.0,5650.0,0.0,101,30.06.2022,101.36
Шкаф высокий Geradom GD-1123,4101360400174.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,10300.0,1.0,10300.0,0.0,101,30.06.2022,101.36
Шкаф высокий Geradom GD-1123,4101360400175.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,10300.0,1.0,10300.0,0.0,101,30.06.2022,101.36
Шкаф высокий Geradom GD-1123,4101360400179.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,10300.0,1.0,10300.0,0.0,101,30.06.2022,101.36
Шкаф высокий Geradom GD-1123,4101360400181.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,10300.0,1.0,10300.0,0.0,101,30.06.2022,101.36
Шкаф высокий Geradom GD-1123,4101360400183.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,10300.0,1.0,10300.0,0.0,101,30.06.2022,101.36
Шкаф высокий Geradom GD-1123,4101360400184.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,10300.0,1.0,10300.0,0.0,101,30.06.2022,101.36
Шкаф высокий Geradom GD-1123,4101360400186.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,10300.0,1.0,10300.0,0.0,101,30.06.2022,101.36
Шкаф высокий Geradom GD-1123,4101360400187.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,10300.0,1.0,10300.0,0.0,101,30.06.2022,101.36
Шкаф высокий Geradom GD-1123,4101360400188.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,10300.0,1.0,10300.0,0.0,101,30.06.2022,101.36
Шкаф высокий Geradom GD-1123,4101360400189.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,10300.0,1.0,10300.0,0.0,101,30.06.2022,101.36
Шкаф высокий Geradom GD-1123,4101360400190.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,10300.0,1.0,10300.0,0.0,101,30.06.2022,101.36
Шкаф высокий Geradom GD-1123,4101360400193.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,10300.0,1.0,10300.0,0.0,101,30.06.2022,101.36
Шкаф высокий Geradom GD-1123,4101360400194.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,10300.0,1.0,10300.0,0.0,101,30.06.2022,101.36
Шкаф высокий Geradom GD-1123,4101360400195.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,10300.0,1.0,10300.0,0.0,101,30.06.2022,101.36
Шкаф высокий Geradom GD-1123,4101360400196.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,10300.0,1.0,10300.0,0.0,101,30.06.2022,101.36
Шкаф высокий Geradom GD-1123,4101360400197.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,10300.0,1.0,10300.0,0.0,101,30.06.2022,101.36
Шкаф высокий Geradom GD-1123,4101360400198.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,10300.0,1.0,10300.0,0.0,101,30.06.2022,101.36
Шкаф высокий Geradom GD-1123,4101360400200.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,10300.0,1.0,10300.0,0.0,101,30.06.2022,101.36
Шкаф высокий Geradom GD-1123,4101360400201.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,10300.0,1.0,10300.0,0.0,101,30.06.2022,101.36
Шкаф высокий Geradom GD-1123,4101360400202.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,10300.0,1.0,10300.0,0.0,101,30.06.2022,101.36
Шкаф высокий Geradom GD-1123,4101360400203.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,10300.0,1.0,10300.0,0.0,101,30.06.2022,101.36
Шкаф высокий Geradom GD-1123,4101360400204.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,10300.0,1.0,10300.0,0.0,101,30.06.2022,101.36
Шкаф высокий Geradom GD-1123,4101360400205.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,10300.0,1.0,10300.0,0.0,101,30.06.2022,101.36
Шкаф высокий Geradom GD-1123,4101360400207.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,10300.0,1.0,10300.0,0.0,101,30.06.2022,101.36
Шкаф высокий Geradom GD-1123,4101360400208.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,10300.0,1.0,10300.0,0.0,101,30.06.2022,101.36
Шкаф высокий Geradom GD-1123,4101360400209.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,10300.0,1.0,10300.0,0.0,101,30.06.2022,101.36
Шкаф высокий Geradom GD-1123,4101360400210.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,10300.0,1.0,10300.0,0.0,101,30.06.2022,101.36
Шкаф высокий Geradom GD-1123,4101360400211.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,10300.0,1.0,10300.0,0.0,101,30.06.2022,101.36
Шкаф высокий Geradom GD-1123,4101360400212.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,10300.0,1.0,10300.0,0.0,101,30.06.2022,101.36
Шкаф высокий Geradom GD-1123,4101360400213.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,10300.0,1.0,10300.0,0.0,101,30.06.2022,101.36
Гардероб Geradom GD-1189,4101360400216.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,8130.0,1.0,8130.0,0.0,101,30.06.2022,101.36
Гардероб Geradom GD-1189,4101360400218.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,8130.0,1.0,8130.0,0.0,101,30.06.2022,101.36
Гардероб Geradom GD-1189,4101360400219.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,8130.0,1.0,8130.0,0.0,101,30.06.2022,101.36
Гардероб Geradom GD-1189,4101360400220.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,8130.0,1.0,8130.0,0.0,101,30.06.2022,101.36
Гардероб Geradom GD-1189,4101360400221.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,8130.0,1.0,8130.0,0.0,101,30.06.2022,101.36
Гардероб Geradom GD-1189,4101360400224.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,8130.0,1.0,8130.0,0.0,101,30.06.2022,101.36
Гардероб Geradom GD-1189,4101360400225.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,8130.0,1.0,8130.0,0.0,101,30.06.2022,101.36
Гардероб Geradom GD-1189,4101360400226.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,8130.0,1.0,8130.0,0.0,101,30.06.2022,101.36
Гардероб Geradom GD-1189,4101360400227.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,8130.0,1.0,8130.0,0.0,101,30.06.2022,101.36
Гардероб Geradom GD-1189,4101360400228.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,8130.0,1.0,8130.0,0.0,101,30.06.2022,101.36
Гардероб Geradom GD-1189,4101360400230.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,8130.0,1.0,8130.0,0.0,101,30.06.2022,101.36
Гардероб Geradom GD-1189,4101360400231.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,8130.0,1.0,8130.0,0.0,101,30.06.2022,101.36
Гардероб Geradom GD-1189,4101360400233.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,8130.0,1.0,8130.0,0.0,101,30.06.2022,101.36
Гардероб Geradom GD-1189,4101360400234.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,8130.0,1.0,8130.0,0.0,101,30.06.2022,101.36
Гардероб Geradom GD-1189,4101360400235.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,8130.0,1.0,8130.0,0.0,101,30.06.2022,101.36
Стол для руководителя Geradom GD-1201,4101360400238.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,12000.0,1.0,12000.0,0.0,101,30.06.2022,101.36
Стол для руководителя Geradom GD-1201,4101360400239.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,12000.0,1.0,12000.0,0.0,101,30.06.2022,101.36
Стол для руководителя Geradom GD-1201,4101360400240.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,12000.0,1.0,12000.0,0.0,101,30.06.2022,101.36
Стол для персонала Geradom GD-1223,4101360400244.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,6150.0,1.0,6150.0,0.0,101,30.06.2022,101.36
Стол для персонала Geradom GD-1223,4101360400245.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,6150.0,1.0,6150.0,0.0,101,30.06.2022,101.36
Стол для персонала Geradom GD-1223,4101360400246.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,6150.0,1.0,6150.0,0.0,101,30.06.2022,101.36
Стол для персонала Geradom GD-1223,4101360400248.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,6150.0,1.0,6150.0,0.0,101,30.06.2022,101.36
Стол для персонала Geradom GD-1223,4101360400249.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,6150.0,1.0,6150.0,0.0,101,30.06.2022,101.36
Стол для персонала Geradom GD-1223,4101360400250.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,6150.0,1.0,6150.0,0.0,101,30.06.2022,101.36
Стол для персонала Geradom GD-1223,4101360400251.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,6150.0,1.0,6150.0,0.0,101,30.06.2022,101.36
Стол для персонала Geradom GD-1223,4101360400253.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,6150.0,1.0,6150.0,0.0,101,30.06.2022,101.36
Стол для персонала Geradom GD-1223,4101360400255.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,6150.0,1.0,6150.0,0.0,101,30.06.2022,101.36
Стол для персонала Geradom GD-1223,4101360400256.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,6150.0,1.0,6150.0,0.0,101,30.06.2022,101.36
Стол для персонала Geradom GD-1223,4101360400257.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,6150.0,1.0,6150.0,0.0,101,30.06.2022,101.36
Стол для персонала Geradom GD-1223,4101360400258.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,6150.0,1.0,6150.0,0.0,101,30.06.2022,101.36
Стол для персонала Geradom GD-1223,4101360400259.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,6150.0,1.0,6150.0,0.0,101,30.06.2022,101.36
Стол для персонала Geradom GD-1223,4101360400260.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,6150.0,1.0,6150.0,0.0,101,30.06.2022,101.36
Стол для персонала Geradom GD-1223,4101360400261.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,6150.0,1.0,6150.0,0.0,101,30.06.2022,101.36
Стол для персонала Geradom GD-1223,4101360400262.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,6150.0,1.0,6150.0,0.0,101,30.06.2022,101.36
Стол для персонала Geradom GD-1223,4101360400264.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,6150.0,1.0,6150.0,0.0,101,30.06.2022,101.36
Стол для персонала Geradom GD-1223,4101360400265.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,6150.0,1.0,6150.0,0.0,101,30.06.2022,101.36
Стол для персонала Geradom GD-1223,4101360400266.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,6150.0,1.0,6150.0,0.0,101,30.06.2022,101.36
Стол для персонала Geradom GD-1223,4101360400267.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,6150.0,1.0,6150.0,0.0,101,30.06.2022,101.36
Стол для персонала Geradom GD-1223,4101360400268.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,6150.0,1.0,6150.0,0.0,101,30.06.2022,101.36
Стол для персонала Geradom GD-1223,4101360400269.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,6150.0,1.0,6150.0,0.0,101,30.06.2022,101.36
Стол для персонала Geradom GD-1223,4101360400270.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,6150.0,1.0,6150.0,0.0,101,30.06.2022,101.36
Стол для персонала Geradom GD-1223,4101360400271.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,6150.0,1.0,6150.0,0.0,101,30.06.2022,101.36
Стол для персонала Geradom GD-1223,4101360400272.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,6150.0,1.0,6150.0,0.0,101,30.06.2022,101.36
Стол для персонала Geradom GD-1223,4101360400273.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,6150.0,1.0,6150.0,0.0,101,30.06.2022,101.36
Стол для персонала Geradom GD-1223,4101360400274.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,6150.0,1.0,6150.0,0.0,101,30.06.2022,101.36
Стол для персонала Geradom GD-1223,4101360400275.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,6150.0,1.0,6150.0,0.0,101,30.06.2022,101.36
Стол для персонала Geradom GD-1223,4101360400277.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,6150.0,1.0,6150.0,0.0,101,30.06.2022,101.36
Стол для персонала Geradom GD-1223,4101360400278.0,330.31.01.1,4.0,100% при вводе в эксплуатацию,01.07.2015,Введено в эксплуатацию,84.0,1.19,100.0,6150.0,1.0,6150.0,0.0,101,30.06.2022,101.36
